"filename", "language", "TypeScript", "TypeScript React", "JSON", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\marie\rgu_vr\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 21, 47
"c:\Users\marie\rgu_vr\package.json", "JSON", 0, 0, 56, 0, 0, 0, 0, 1, 57
"c:\Users\marie\rgu_vr\public\index.html", "HTML", 0, 0, 0, 0, 0, 14, 0, 3, 17
"c:\Users\marie\rgu_vr\src\components\Header\Header.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\marie\rgu_vr\src\components\Header\Header.tsx", "TypeScript React", 0, 14, 0, 0, 0, 0, 0, 6, 20
"c:\Users\marie\rgu_vr\src\components\ProductCard\ProductCard.css", "CSS", 0, 0, 0, 49, 0, 0, 0, 7, 56
"c:\Users\marie\rgu_vr\src\components\ProductCard\ProductCard.tsx", "TypeScript React", 0, 34, 0, 0, 0, 0, 0, 9, 43
"c:\Users\marie\rgu_vr\src\index.css", "CSS", 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\marie\rgu_vr\src\index.tsx", "TypeScript React", 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\marie\rgu_vr\src\layouts\App.css", "CSS", 0, 0, 0, 7, 0, 0, 1, 3, 11
"c:\Users\marie\rgu_vr\src\layouts\App.tsx", "TypeScript React", 0, 22, 0, 0, 0, 0, 0, 4, 26
"c:\Users\marie\rgu_vr\src\layouts\Home\Home.css", "CSS", 0, 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\marie\rgu_vr\src\layouts\Home\Home.tsx", "TypeScript React", 0, 53, 0, 0, 0, 0, 0, 10, 63
"c:\Users\marie\rgu_vr\src\layouts\ProductPage\ProductPage.css", "CSS", 0, 0, 0, 112, 0, 0, 0, 8, 120
"c:\Users\marie\rgu_vr\src\layouts\ProductPage\ProductPage.tsx", "TypeScript React", 0, 164, 0, 0, 0, 0, 0, 25, 189
"c:\Users\marie\rgu_vr\src\models\categorie.model.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\marie\rgu_vr\src\models\product.model.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 6, 65
"c:\Users\marie\rgu_vr\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\marie\rgu_vr\tsconfig.json", "JSON", 0, 0, 26, 0, 0, 0, 0, 1, 27
"Total", "-", 68, 292, 82, 212, 26, 14, 2, 112, 808